Epoch,Train Loss,Validation Loss,Train Reconstruction Loss,Train KLD Loss,Validation Reconstruction Loss,Validation KLD Loss
1,7.096424962463379,6.789159070950347,7.022886707000732,147.0765066357422,6.695460374362933,187.39740521610736
2,6.605463129730224,6.4326614678477325,6.500511468811035,209.90331226074218,6.316035470261741,233.25198978509385
3,6.310219667358399,6.184201124758005,6.186506659545898,247.42599607421874,6.052135044012588,264.13214686579596
4,6.071623324737549,5.963861610181034,5.930871774139404,281.5030841552734,5.8167390853833085,294.2450320697821
5,5.870753929138184,5.805781209049895,5.715722009277344,310.0638204980469,5.646168263956381,319.2258519181809
6,5.6951864768981935,5.630694008482911,5.527469471130371,335.43399456054686,5.458089685287719,345.2086321065982
7,5.536703377532959,5.4869255912951385,5.358011726379394,357.3832892675781,5.304513058342492,364.8250168870432
8,5.392680812835693,5.361264177023793,5.204460466003418,376.44068559570314,5.168318260972873,385.8918166480506
9,5.268770910339356,5.256868933717283,5.072374141693115,392.79351643554685,5.057061649359072,399.61456552328775
10,5.161115379638672,5.171492029683659,4.95786962814331,406.4914813378906,4.964362344041038,414.25933204139005
11,5.063461041107177,5.076412595499057,4.8542837814331055,418.35448766601564,4.864572019241869,423.6811049586287
12,4.978136656646728,5.007889790275988,4.763695565185547,428.8821632421875,4.7915102818522595,432.7589965430312
13,4.898691879577637,4.938559941971264,4.680017532196045,437.3486734570312,4.718206187787528,440.7074942786854
14,4.827664460601807,4.879428647196712,4.604618531494141,446.09184044921875,4.65503219141366,448.7928782697684
15,4.762239130401611,4.826982813521315,4.535573636322021,453.33096469726564,4.599900853519623,454.1639118621144
16,4.701188085174561,4.770826842457342,4.471479614105225,459.4169123925781,4.541708190601093,458.23729513247554
17,4.643775556030273,4.73364525481154,4.410886141815186,465.7788121484375,4.4989784441816925,469.33361055904305
18,4.591097465972901,4.683075991682351,4.355747061004639,470.7007778417969,4.445662082574619,474.82780305417583
19,4.541902303619385,4.651216695864742,4.303876262359619,476.05207381835936,4.41210373826682,478.2259067133212
20,4.495395957794189,4.608494106573038,4.255111365203858,480.56915447265624,4.366619618936849,483.7489321772664
21,4.452064391784668,4.571698825580244,4.20984328994751,484.4421767089844,4.329601714405388,484.19419524463984
22,4.411005962371826,4.542300775789986,4.166735530853272,488.5408409277344,4.2977296612894955,489.14221893408046
23,4.372277585906982,4.51167691020539,4.126490196762085,491.57475625,4.265303822752005,492.74615693016176
24,4.335676019058227,4.482456364189855,4.087913292999268,495.5254187792969,4.234625294566535,495.66209933247427
25,4.3001739987945555,4.453284659705604,4.051236500930786,497.8749780761719,4.205671040775677,495.22719790912663
26,4.251494443893432,4.431843075127647,4.00041712272644,502.15462921875,4.182734921336555,498.2162660836412
27,4.232416476821899,4.418704436609921,3.980329292984009,504.1743403027344,4.166503722675311,504.40140345759283
28,4.216332266921997,4.408299680715933,3.963517851867676,505.6288055078125,4.154351453049876,507.8964364048772
29,4.199659406280517,4.396157525217952,3.9462547762298583,506.80923640625,4.1446432800719535,503.0284736803926
30,4.184761692123413,4.387633588748237,3.9303957583618163,508.7318442089844,4.133393996058943,508.47913826159396
31,4.169755206680298,4.375368147231519,3.914841438522339,509.8275128125,4.119334593367653,512.0670974292694
32,4.157323521575928,4.366901379423782,3.901690104217529,511.26680529296874,4.111476922568421,510.8488710056098
33,4.142283204193115,4.35594805360983,3.886023225860596,512.5199261230468,4.09886359025876,514.1689005598854
34,4.129256023864746,4.3449242488263895,3.872316294937134,513.87944625,4.088504955029716,512.8385538216978
35,4.115178908081055,4.335701530352949,3.8577050494384766,514.9476859082031,4.077403043405697,516.596969555742
36,4.101942008361816,4.326481782590238,3.844152756729126,515.5784784667969,4.067994465081456,516.9746294600515
37,4.090690491638184,4.318321351426097,3.8323352895355223,516.7103777441406,4.060703778800111,515.2351028393633
38,4.078509990158081,4.3117575957752265,3.8198189420318602,517.3820756152344,4.054664454140221,514.1862231367312
39,4.067072316970825,4.30416934863447,3.8076652574157714,518.8140930566407,4.043507460207223,521.3237615713297
40,4.055327884216308,4.296597106769062,3.795591805419922,519.4721293261719,4.035699142815587,521.7959209600576
41,4.043106730575562,4.288281078917531,3.7830222158050537,520.16900453125,4.030411094903184,515.7399587417943
42,4.03225421661377,4.283812925076713,3.7716956998443605,521.117005390625,4.02322191247544,521.1819812908722
43,4.022157643051147,4.27913770888941,3.7611754209136965,521.9644189160156,4.019600498790558,519.0743770904054
44,4.011918519897461,4.271045586552483,3.750563723449707,522.7095727636719,4.009757441072799,522.5762638177354
45,4.002726948242188,4.263764369982881,3.740943049240112,523.5677748632812,4.001564416641625,524.399895713733
46,3.992921672821045,4.260135556943119,3.730931785507202,523.9797458300782,3.9977818312355504,524.7074420185515
47,3.983457550430298,4.2537385259573455,3.7210088159179686,524.8974468164063,3.9924356868853583,522.6056596554887
48,3.9743116651916504,4.249869064781993,3.7117229859924317,525.17732734375,3.9884464687432724,522.8451961237021
49,3.965434499053955,4.241549745535317,3.702580023651123,525.7089236035156,3.977643780053233,527.8118912084415
50,3.9565610832214357,4.2389097823121675,3.6931302297973634,526.8616878417969,3.9756877338543486,526.4440643018046
